total_focos,ano,mes,estado
6,2000,2,SE
25,2000,2,SP
185,2000,2,TO
35,2000,3,AC
32,2000,3,AL
502,2000,3,AM
2,2000,3,AP
65,2000,3,BA
16,2000,3,CE
1,2000,3,ES
4,2000,3,GO
25,2000,3,MA
24,2000,3,MG
23,2000,3,MS
60,2000,3,MT
189,2000,3,PA
12,2000,3,PB
17,2000,3,PE
17,2000,3,PI
51,2000,3,PR
17,2000,3,RN
25,2000,3,RO
135,2000,3,RR
51,2000,3,RS
46,2000,3,SC
6,2000,3,SE
27,2000,3,SP
208,2000,3,TO
21,2000,4,AC
20,2000,4,AL
293,2000,4,AM
8,2000,4,AP
23,2000,4,BA
16,2000,4,CE
3,2000,4,ES
16,2000,4,GO
7,2000,4,MA
49,2000,4,MG
90,2000,4,MS
59,2000,4,MT
42,2000,4,PA
3,2000,4,PB
1,2000,4,PE
15,2000,4,PI
51,2000,4,PR
2,2000,4,RJ
17,2000,4,RN
1,2000,4,RO
4,2000,4,RR
1,2000,4,RS
7,2000,4,SC
1,2000,4,SE
102,2000,4,SP
160,2000,4,TO
4,2000,5,AC
1,2000,5,AL
206,2000,5,AM
6,2000,5,AP
71,2000,5,BA
8,2000,5,CE
2,2000,5,DF
8,2000,5,ES
58,2000,5,GO
33,2000,5,MA
67,2000,5,MG
127,2000,5,MS
1192,2000,5,MT
12,2000,5,PA
2,2000,5,PB
7,2000,5,PE
29,2000,5,PI
43,2000,5,PR
5,2000,5,RJ
3,2000,5,RN
34,2000,5,RO
31,2000,5,RR
4,2000,5,RS
300,2000,5,SP
281,2000,5,TO
1,2000,6,AC
24,2000,6,AM
2,2000,6,AP
176,2000,6,BA
16,2000,6,CE
1,2000,6,DF
9,2000,6,ES
222,2000,6,GO
95,2000,6,MA
135,2000,6,MG
157,2000,6,MS
4358,2000,6,MT
59,2000,6,PA
3,2000,6,PB
4,2000,6,PE
20,2000,6,PI
53,2000,6,PR
14,2000,6,RJ
9,2000,6,RN
54,2000,6,RO
3,2000,6,RR
2,2000,6,SC
605,2000,6,SP
284,2000,6,TO
2,2000,7,AC
50,2000,7,AM
1,2000,7,AP
199,2000,7,BA
20,2000,7,CE
15,2000,7,DF
16,2000,7,ES
332,2000,7,GO
234,2000,7,MA
345,2000,7,MG
160,2000,7,MS
1335,2000,7,MT
429,2000,7,PA
2,2000,7,PB
2,2000,7,PE
77,2000,7,PI
98,2000,7,PR
22,2000,7,RJ
4,2000,7,RN
121,2000,7,RO
3,2000,7,RR
6,2000,7,RS
21,2000,7,SC
770,2000,7,SP
535,2000,7,TO
141,2000,8,AC
4,2000,8,AL
199,2000,8,AM
19,2000,8,AP
629,2000,8,BA
90,2000,8,CE
9,2000,8,DF
26,2000,8,ES
925,2000,8,GO
1230,2000,8,MA
770,2000,8,MG
530,2000,8,MS
6059,2000,8,MT
5526,2000,8,PA
10,2000,8,PB
65,2000,8,PE
426,2000,8,PI
850,2000,8,PR
34,2000,8,RJ
31,2000,8,RN
2421,2000,8,RO
27,2000,8,RR
18,2000,8,RS
68,2000,8,SC
915,2000,8,SP
2065,2000,8,TO
264,2000,9,AC
22,2000,9,AL
225,2000,9,AM
55,2000,9,AP
2284,2000,9,BA
132,2000,9,CE
3,2000,9,DF
14,2000,9,ES
1294,2000,9,GO
1375,2000,9,MA
1080,2000,9,MG
509,2000,9,MS
6251,2000,9,MT
2590,2000,9,PA
12,2000,9,PB
165,2000,9,PE
1227,2000,9,PI
381,2000,9,PR
16,2000,9,RJ
55,2000,9,RN
2478,2000,9,RO
19,2000,9,RR
27,2000,9,RS
36,2000,9,SC
581,2000,9,SP
2831,2000,9,TO
26,2000,10,AC
13,2000,10,AL
157,2000,10,AM
50,2000,10,AP
3350,2000,10,BA
877,2000,10,CE
17,2000,10,DF
88,2000,10,ES
906,2000,10,GO
2665,2000,10,MA
1954,2000,10,MG
657,2000,10,MS
6063,2000,10,MT
4314,2000,10,PA
129,2000,10,PB
409,2000,10,PE
2559,2000,10,PI
656,2000,10,PR
25,2000,10,RJ
28,2000,10,RN
681,2000,10,RO
28,2000,10,RR
10,2000,10,RS
55,2000,10,SC
3,2000,10,SE
647,2000,10,SP
1253,2000,10,TO
3,2000,11,AC
2,2000,11,AL
97,2000,11,AM
158,2000,11,AP
114,2000,11,BA
697,2000,11,CE
3,2000,11,ES
26,2000,11,GO
2290,2000,11,MA
43,2000,11,MG
274,2000,11,MS
502,2000,11,MT
3367,2000,11,PA
66,2000,11,PB
64,2000,11,PE
454,2000,11,PI
85,2000,11,PR
2,2000,11,RJ
9,2000,11,RN
13,2000,11,RO
43,2000,11,RR
18,2000,11,RS
19,2000,11,SC
96,2000,11,SP
166,2000,11,TO
2,2000,12,AC
2,2000,12,AL
136,2000,12,AM
34,2000,12,AP
24,2000,12,BA
389,2000,12,CE
6,2000,12,ES
6,2000,12,GO
1463,2000,12,MA
14,2000,12,MG
139,2000,12,MS
98,2000,12,MT
1698,2000,12,PA
34,2000,12,PB
22,2000,12,PE
79,2000,12,PI
159,2000,12,PR
11,2000,12,RN
20,2000,12,RO
90,2000,12,RR
80,2000,12,RS
29,2000,12,SC
23,2000,12,SP
134,2000,12,TO
7,2001,1,AC
5,2001,1,AL
859,2001,1,AM
174,2001,1,AP
25,2001,1,BA
